From,To,Seconds,Meters
LPAL,BVCC,588,4515
LPAL,TOWN,802,12940
LPAL,SCOA,2659,55772
LPAL,CVSB,1596,31564
LPAL,LAKE,1853,37396
LPAL,LPIH,801,12031
LPAL,TUSH,1113,18631
LPAL,NNRC,1710,34401
LPAL,BGSJ,2231,50905
LPAL,HELP,1227,22748
LPAL,BGYL,1254,20836
LPAL,COLL,1446,31625
LPAL,GGCH,1262,12638
LPAL,CMIS,1914,40702
LPAL,KINB,1022,16724
LPAL,KINO,852,14292
LPAL,STAN,1484,26401
LPAL,KINW,1223,22729
LPAL,CVLH,1715,36637
LPAL,FPCC,842,14067
LPAL,ANHC,861,7966
LPAL,FLAG,1772,34786
LPAL,CAPO,2427,58011
LPAL,GORD,831,6461
LPAL,ATCC,893,11485
LPAL,FVRH,1539,22236
LPAL,MISS,1988,44583
LPAL,ROYL,1549,18603
LPAL,LEIS,140,389
LPAL,ACNC,892,8475
LPAL,ALTA,879,13627
LPAL,PACI,899,14702
LPAL,IRVR,1539,29485
LPAL,WINA,1028,10373
LPAL,NSUB,1571,33434
LPAL,ALAM,1448,19359
LPAL,PLAC,1020,14292
LPAL,CHAP,925,16819
LPAL,KNOT,867,11239
LPAL,HBHO,1794,29052
LPAL,HBRI,988,16029
LPAL,OCMM,1751,25760
LPAL,MESA,1672,33918
LPAL,CMCH,1309,21141
LPAL,COCT,730,6251
LPAL,WLNT,500,3862
LPAL,SMMC,1793,36775
LPAL,FOCC,707,11691
LPAL,KAIA,855,13223
LPAL,RGNT,1706,33462
LPAL,HVAL,1832,29378
LPAL,FREE,1798,36249
LPAL,QUAK,1175,11773
LPAL,CARE,962,16340
LPAL,VIVA,1734,36524
LPAL,SCRT,993,16519
LPAL,PREG,1156,12668
LPAL,SNMR,427,3035
LPAL,EVER,887,8814
LPAL,NEWO,1179,19573
LPAL,WMCS,1049,16993
LPAL,COVI,2220,44762
LPAL,SEAC,1928,30579
LPAL,WMCA,570,4768
LPAL,ELIZ,816,7171
LPAL,PSUP,1790,35033
LPAL,CHOC,803,12295
LPAL,COAS,1555,18672
LPAL,CVPL,1471,26458
LPAL,TERR,858,8655
LPAL,CMLH,1340,14198
LPAL,PANA,1032,10425
LPAL,GPCC,784,13108
LPAL,SJOS,902,12577
LPAL,CMSA,1511,30407
LPAL,SJUD,779,6292
LPAL,HSUB,1794,29052
LPAL,BEAC,1905,31073
LPAL,LAMC,1492,19685
LPAL,BPNC,805,7348
LPAL,PKVW,510,4365
LPAL,WINF,559,4146
LPAL,AMMC,128,450
LPAL,VICT,1468,31799
LPAL,AGBP,674,8283
EXTW,CSNC,818,10958
EXTW,HOAG,1365,24758
EXTW,AGEN,735,6919
EXTW,LPAL,1290,23394
EXTW,EXTW,0,0
EXTW,PVIS,1606,30012
EXTW,SCLE,2174,55183
EXTW,GREE,1707,21267
EXTW,GGMC,674,10902
EXTW,HVCC,1061,19758
EXTW,UCIM,875,12753
EXTW,MANO,905,12400
EXTW,COVI,1816,40201
EXTW,WAMC,811,7783
EXTW,EDNA,660,11030
EXTW,LHAB,1899,21087
EXTW,PALM,1684,35172
EXTW,HSOU,992,20115
EXTW,WAEC,807,7879
EXTW,BVCC,958,11903
EXTW,TOWN,790,14552
EXTW,SCOA,2414,45992
EXTW,CVSB,787,8805
EXTW,LAKE,1812,37672
EXTW,LPIH,1238,15014
EXTW,TUSH,1148,20352
EXTW,PACI,516,8305
EXTW,BGSJ,2058,49074
EXTW,HELP,72,376
EXTW,BGYL,1655,34341
EXTW,COLL,1003,20679
EXTW,GGCH,427,3569
EXTW,CMIS,1874,41016
EXTW,KINB,1546,32000
EXTW,KINO,840,15905
EXTW,STAN,436,3254
EXTW,KINW,80,248
EXTW,CVLH,1676,36952
EXTW,SJUD,1745,30721
EXTW,FPCC,878,15788
EXTW,ANHC,795,8138
EXTW,FLAG,1329,23840
EXTW,CAPO,2255,56180
EXTW,GORD,1327,25849
EXTW,ATCC,943,8919
EXTW,FVRH,906,13172
EXTW,MISS,1949,44897
EXTW,ROYL,1276,16618
EXTW,LEIS,1346,23392
EXTW,ACNC,782,7859
EXTW,ALTA,709,11028
EXTW,NNRC,1267,23455
EXTW,IRVR,1384,28472
EXTW,WINA,747,7408
EXTW,NSUB,1136,17864
EXTW,ALAM,830,15654
EXTW,CMSA,888,15498
EXTW,CHAP,913,18431
EXTW,KNOT,915,8934
EXTW,HBRI,976,17641
EXTW,OCMM,702,10494
EXTW,HSUB,724,6985
EXTW,CMCH,1297,22753
EXTW,COCT,794,10195
EXTW,WLNT,1088,13491
EXTW,SMMC,1754,37089
EXTW,FOCC,738,13193
EXTW,KAIA,1256,26727
EXTW,RGNT,1334,24527
EXTW,HVAL,762,7311
EXTW,FREE,1757,36524
EXTW,QUAK,489,4307
EXTW,CARE,950,17952
EXTW,VIVA,1695,36838
EXTW,SCRT,1028,18241
EXTW,PREG,1858,20514
EXTW,SNMR,1085,13367
EXTW,EVER,1652,31442
EXTW,NEWO,1168,21186
EXTW,WMCS,992,19365
EXTW,ORRH,648,9646
EXTW,SEAC,857,8513
EXTW,WMCA,1155,20498
EXTW,ELIZ,1690,32185
EXTW,PSUP,1347,24087
EXTW,CHOC,833,13797
EXTW,COAS,1259,19639
EXTW,CVPL,1229,19476
EXTW,TERR,1622,31283
EXTW,CMLH,2058,22786
